###MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60051.30767,-20.247,1.062,-29,31,c,0,0.9,219.42633,2.2845,9923.15,660.91,3.43,2.43,-30.6,-0.333,18.27,19.87,04a60051o0755c
60052.95562,21.163,1.389,12,17,o,0,0.83,219.42633,2.2845,10262.76,5840.44,2.2,1.95,-53.3,-0.391,19.26,20.6,03a60053o0525o
60052.95756,-20.452,0.699,-24,17,o,0,0.76,219.42633,2.2845,10242.5,5801.33,2.39,2.1,-56.5,-0.384,19.52,20.94,03a60053o0529o
60052.96052,-22.663,4.783,-3,15,o,0,1.31,219.42633,2.2845,10300.64,5880.24,2.39,2.12,-54.8,-0.379,19.57,21.02,03a60053o0535o
60052.9663,-17.958,0.231,-238,55,o,0,1.34,219.42633,2.2845,10322.98,5765.15,2.61,2.36,-54.8,-0.382,18.2,19.73,03a60053o0547o
60053.011,-21.751,2.143,-7,16,o,0,1.06,219.42633,2.2845,10385.04,4942.99,2.46,2.05,-58.7,-0.376,19.48,20.9,03a60053o0638o
60053.01437,21.28,3.364,11,38,o,0,1.72,219.42633,2.2845,10403.84,4982.37,2.47,2.05,-58.6,-0.362,17.8,19.12,03a60053o0645o
60053.04936,20.861,1.051,16,17,o,0,1.04,219.42633,2.2845,10324.65,5021.35,2.38,1.94,-60.1,-0.372,19.29,20.53,03a60053o0716o
60054.18524,20.678,0.894,19,17,c,0,0.8,219.42633,2.2845,6520.05,9662.32,3.02,2.27,-74.6,-0.355,19.49,21.51,04a60054o0499c
60054.18708,22.214,3.143,5,15,c,0,1.34,219.42633,2.2845,6502.22,9622.87,2.87,2.16,-76.5,-0.363,19.49,21.5,04a60054o0503c
60054.19253,-20.209,0.5,-30,15,c,0,0.98,219.42633,2.2845,6563.06,9700.34,2.84,2.1,-72.4,-0.377,19.59,21.49,04a60054o0515c
60054.2261,-22.871,4.75,-3,12,c,0,2,219.42633,2.2845,6598.79,9578.64,2.85,2.04,-75.5,-0.384,19.59,21.42,04a60054o0587c
60057.19059,-20.597,0.685,-21,14,c,0,0.95,219.42633,2.2845,6458.16,5980.03,2.24,2.04,-48.9,-0.39,19.42,21.22,04a60057o0456c
60057.19239,-20.933,1,-15,15,c,0,1.23,219.42633,2.2845,6439.03,5941.08,2.26,2.03,-51.2,-0.388,19.41,21.24,04a60057o0460c
60057.19556,21.6,1.661,8,14,c,0,1.32,219.42633,2.2845,6498.34,6018.17,2.25,2.04,-49.2,-0.388,19.43,21.26,04a60057o0467c
60057.20191,21.548,1.464,9,13,c,0,1.72,219.42633,2.2845,6520.87,5901.15,2.4,2.15,-47.8,-0.378,19.35,21.24,04a60057o0481c
60063.27641,-17.922,0.4,-246,98,c,0,0.34,219.42633,2.2845,2164.35,2753.78,2.42,2.03,47.9,-0.381,19.32,20.95,04a60063o0694c
60063.31191,-20.149,0.655,-32,21,c,0,1.17,219.42633,2.2845,2191.91,2778.91,2.38,1.98,46.8,-0.389,19.07,20.55,04a60063o0771c
60063.34026,19.655,0.314,50,16,c,0,1.48,219.42633,2.2845,2131.75,2699.32,2.48,2,43.8,-0.389,19.16,20.61,04a60063o0832c
60063.36543,-23.16,9.182,-2,18,c,0,1.35,219.42633,2.2845,2108.59,2818.19,2.65,2.11,45.1,-0.373,19.07,20.52,04a60063o0886c
60064.97395,-18.671,0.561,-124,69,o,0,1.45,219.42633,2.2845,8486.4,6931.08,2.44,2.01,-48.3,-0.393,17.36,17.45,03a60065o0590o
60064.97677,-21.61,5.579,-8,46,o,0,1.13,219.42633,2.2845,8504.8,6970.97,2.39,1.99,-49.2,-0.4,17.92,18.17,03a60065o0596o
60065.01214,22.792,6.3,3,18,o,0,1.46,219.42633,2.2845,8453.39,6895.35,2.43,2.2,-42.9,-0.407,19.06,19.89,03a60065o0671o
60066.12784,21.968,4.227,6,25,o,0,1.2,219.42633,2.2845,2258.26,7644.61,2.38,1.92,-79.7,-0.398,18.6,19.09,04a60066o0390o
60066.12966,20.192,1.028,30,31,o,0,0.81,219.42633,2.2845,2238.09,7606.32,2.47,1.95,-82.2,-0.385,18.63,19.14,04a60066o0394o
60066.13281,-22.662,7.391,-3,23,o,0,1.93,219.42633,2.2845,2297.27,7683.02,2.41,1.93,-81.1,-0.391,18.65,19.16,04a60066o0401o
60066.13828,-20.6,1.169,-21,24,o,0,1.22,219.42633,2.2845,2318.62,7565.36,2.4,1.9,-82.5,-0.397,18.68,19.18,04a60066o0413o
60072.18902,19.924,0.657,39,26,o,0,1.35,219.42633,2.2845,6050.69,857.63,2.27,2.15,4.9,-0.425,18.66,19.18,04a60072o0515o
60072.1922,19.436,0.472,61,29,o,0,1.09,219.42633,2.2845,6071.67,893.04,2.42,2.22,-0.5,-0.404,18.58,19.18,04a60072o0522o
60072.19859,19.261,0.402,72,29,o,0,1.2,219.42633,2.2845,6017.54,808.27,2.23,2.09,-14.6,-0.417,18.63,19.17,04a60072o0536o
60072.20886,-21.375,2.676,-10,27,o,0,0.95,219.42633,2.2845,6003.47,915.85,2.22,2.02,-1.3,-0.434,18.69,19.13,04a60072o0558o
60073.93221,-21.938,4.182,-6,26,o,0,0.84,219.42633,2.2845,10345.19,3002.99,2.51,2.21,-39.1,-0.384,19.04,19.88,03a60074o0527o
60073.93543,20.241,0.83,29,24,o,0,0.83,219.42633,2.2845,10362.81,3042.23,2.67,2.29,-24.8,-0.342,18.95,19.89,03a60074o0534o
60073.94101,20.042,0.6,35,21,o,0,1.11,219.42633,2.2845,10307.47,2965.48,2.63,2.25,-26.5,-0.349,18.96,19.85,03a60074o0546o
60073.94473,-20.893,1.613,-16,26,o,0,0.75,219.42633,2.2845,236.44,2771.79,2.54,2.33,-51.5,-0.344,18.98,19.81,03a60074o0554o
60073.94793,-20.377,0.939,-26,24,o,0,0.86,219.42633,2.2845,255.59,2811.58,2.5,2.28,-37.3,-0.364,18.95,19.79,03a60074o0561o
60073.95163,20.864,1.25,16,20,o,0,1.55,219.42633,2.2845,10284.63,3082.62,2.44,2.13,-33.6,-0.348,19,19.79,03a60074o0569o
60073.95437,22.388,6.367,4,26,o,0,0.92,219.42633,2.2845,197.89,2732.52,2.45,2.23,-46.9,-0.357,19,19.79,03a60074o0575o
60073.96447,-19.436,0.383,-61,23,o,0,1.08,219.42633,2.2845,176.43,2849.1,2.58,2.38,-41.5,-0.351,18.91,19.75,03a60074o0597o
60075.16754,20.843,2.04,17,34,o,0,1.09,219.42633,2.2845,10307.64,2881.61,2.67,2.15,-16.2,-0.381,18.88,19.8,04a60075o0486o
60075.19727,-21.799,4.536,-7,31,o,0,1.49,219.42633,2.2845,10348.92,2890.7,2.91,2.21,-16.6,-0.384,19.01,20.01,04a60075o0550o
60075.20044,-19.597,0.578,-53,30,o,0,1.38,219.42633,2.2845,10292.19,2810.96,2.78,2.09,-15.8,-0.402,19.04,19.96,04a60075o0557o
60075.20227,23.496,12.182,2,18,o,0,1.26,219.42633,2.2845,188.83,2873.67,2.55,1.75,46.9,-0.39,19.1,20.03,04a60075o0561o
60075.20544,-19.656,0.48,-50,24,o,0,0.87,219.42633,2.2845,210.31,2909.73,2.44,1.79,47,-0.396,19.02,19.92,04a60075o0568o
60075.20589,19.943,0.969,38,37,o,0,0.76,219.42633,2.2845,10273.25,2923.38,2.85,2.09,-16.5,-0.399,18.85,20.01,04a60075o0569o
60075.2397,-20.024,0.659,-36,23,o,0,0.98,219.42633,2.2845,170,2804.67,2.55,1.84,45.2,-0.383,18.98,19.86,04a60075o0642o
60075.25516,-22.152,3.944,-5,20,o,0,1.53,219.42633,2.2845,153.79,2914.04,2.6,1.82,45.3,-0.386,18.94,19.8,04a60075o0675o
60078.2902,-22.599,7.125,-3,24,o,0,1.01,219.42633,2.2845,2271.69,4671.13,2.12,1.94,80,-0.42,18.93,19.92,04a60078o0199o
60078.29432,-20.541,1.164,-22,26,o,0,0.89,219.42633,2.2845,2290.58,4710.33,2.08,2,-61,-0.454,18.91,19.8,04a60078o0208o
60078.29983,-20.038,0.684,-35,24,o,0,1.16,219.42633,2.2845,2230.79,4633.81,2.17,1.98,76.3,-0.41,18.88,19.81,04a60078o0220o
60078.31165,19.71,0.577,47,27,o,0,0.59,219.42633,2.2845,2208.09,4752.37,2.11,1.89,79.6,-0.41,18.86,19.69,04a60078o0246o
60079.92601,-22.363,3.222,-4,13,c,0,0.95,219.42633,2.2845,2295.33,6599.68,2.27,2.07,-49.7,-0.398,19.79,21.5,03a60080o0515c
60079.92922,21.919,2.019,6,12,c,0,1.16,219.42633,2.2845,2314.12,6639.2,2.34,2.1,-52.7,-0.398,19.75,21.5,03a60080o0522c
60079.93648,20.577,0.558,21,12,c,0,1.12,219.42633,2.2845,2256.88,6561.22,2.3,2.1,-52,-0.402,19.77,21.56,03a60080o0537c
60079.96872,-21.366,1.175,-10,12,c,0,1.3,219.42633,2.2845,2240.27,6681.39,2.4,2.19,-49.3,-0.397,19.67,21.38,03a60080o0606c
60082.85939,20.613,0.487,21,10,c,0,1.7,219.42633,2.2845,126.24,3688.92,2.49,2.29,-54.4,-0.381,19.68,21.68,03a60083o0378c
60082.86122,21.206,1.012,12,12,c,0,1.42,219.42633,2.2845,107.22,3649.15,2.54,2.35,-63.7,-0.378,19.68,21.7,03a60083o0382c
60082.86443,22.671,3.143,3,10,c,0,2.08,219.42633,2.2845,165.7,3727.79,2.56,2.37,-55.6,-0.381,19.68,21.73,03a60083o0389c
60082.86766,-21.815,2.174,-7,15,c,0,0.86,219.42633,2.2845,10223.41,3903.73,2.57,2.35,-56.1,-0.378,19.71,21.74,03a60083o0396c
60082.87045,20.932,0.752,15,12,c,0,1.85,219.42633,2.2845,10205.41,3864.46,2.53,2.36,-55.3,-0.375,19.7,21.75,03a60083o0402c
60082.87183,-21.305,1.077,-11,12,c,0,1.42,219.42633,2.2845,188.98,3610.86,2.53,2.3,-56.5,-0.365,19.71,21.76,03a60083o0405c
60082.87325,22.803,4.15,3,11,c,0,1.34,219.42633,2.2845,10262.47,3942.9,2.46,2.3,-54.9,-0.369,19.73,21.74,03a60083o0408c
60082.8783,-21.569,1.469,-9,13,c,0,1.05,219.42633,2.2845,10285.69,3827.26,2.42,2.24,-46.1,-0.372,19.77,21.76,03a60083o0419c
60084.14917,18.534,0.924,140,129,o,0,1.14,219.42633,2.2845,4061.24,2714.13,1.9,1.81,37.7,-0.47,16.83,18,04a60084o0307o
60084.15241,-19.543,1.554,-55,86,o,0,1.85,219.42633,2.2845,4082.95,2749.34,1.93,1.81,36.8,-0.456,17.21,18.37,04a60084o0314o
60084.15843,-20.147,6,-32,190,o,0,0.78,219.42633,2.2845,4029.65,2665.34,1.97,1.86,38.4,-0.428,16.45,17.56,04a60084o0327o
60084.19366,-19.227,0.706,-74,52,o,0,0.97,219.42633,2.2845,4033.35,2749.55,2.05,1.96,36.1,-0.444,18.15,19.33,04a60084o0402o
60088.89327,-23.387,6.091,-2,10,c,0,2.17,219.42633,2.2845,8443.3,5001.97,2.59,2.27,-30.6,-0.385,19.62,21.5,03a60089o0447c
60088.8965,-21.285,1.188,-11,13,c,0,1.1,219.42633,2.2845,8462.63,5042.44,2.91,2.39,-7.9,-0.399,19.57,21.51,03a60089o0454c
60088.902,20.803,0.733,17,13,c,0,1.59,219.42633,2.2845,8406.15,4965.03,2.91,2.43,-13.6,-0.382,19.54,21.51,03a60089o0466c
60088.91264,-22.939,4.938,-2,12,c,0,1.2,219.42633,2.2845,8383.99,5081.93,2.67,2.34,-19.1,-0.387,19.63,21.49,03a60089o0489c
60091.88297,20.243,0.591,29,17,o,0,1.15,219.42633,2.2845,2265.81,985.34,2.34,2.08,-26.8,-0.412,19.23,20.23,03a60092o0405o
60091.91796,-21.618,1.956,-8,16,o,0,1.29,219.42633,2.2845,2287.57,1028.55,2.27,2.08,-49.2,-0.398,19.27,20.29,03a60092o0479o
60091.92068,20.836,1.15,17,19,o,0,0.87,219.42633,2.2845,2229.93,949.24,2.41,2.18,-25.2,-0.389,19.21,20.3,03a60092o0485o
60091.93788,19.909,0.389,40,15,o,0,1.35,219.42633,2.2845,2211.95,1066.46,2.42,2.17,-22.5,-0.394,19.25,20.39,03a60092o0520o
60100.89664,-17.734,0.811,-293,237,o,0,3.36,219.42633,2.2845,10004.72,728.09,2.62,2.27,-17.1,-0.449,16.37,16.06,03a60101o0464o
60105.13359,-21.609,1.548,-8,13,c,0,1.64,219.42633,2.2845,4085.81,883.9,2.79,2.46,47.5,-0.374,19.4,21.53,04a60105o0024c
60105.14325,21.454,1.465,10,14,c,0,1.5,219.42633,2.2845,4071.78,994.28,2.95,2.6,42,-0.365,19.3,21.46,04a60105o0045c
60108.10802,-19.772,0.312,-45,14,c,0,1.11,219.42633,2.2845,2419.59,8593.78,2.66,2.1,-82.5,-0.357,19.48,21.6,04a60108o0367c
60108.11085,23.186,8.636,2,17,c,0,1.06,219.42633,2.2845,2441.19,8629.17,2.72,2.18,-85.3,-0.355,19.49,21.61,04a60108o0373c
60108.11649,20.007,0.367,36,13,c,0,1.67,219.42633,2.2845,2386.62,8546.68,2.69,2.15,-85.6,-0.354,19.47,21.63,04a60108o0385c
60108.12658,-20.043,0.327,-35,11,c,0,1.79,219.42633,2.2845,2371.4,8655.42,2.74,2.1,-82.6,-0.355,19.49,21.62,04a60108o0407c
60111.09202,-21.981,2.316,-6,14,c,0,1.2,219.42633,2.2845,6297.58,8390.83,2.36,2.11,-51.3,-0.398,19.43,21.33,04a60111o0335c
60111.09529,20.778,0.723,18,13,c,0,1.65,219.42633,2.2845,6318.41,8426.23,2.35,2.06,-53.1,-0.402,19.44,21.34,04a60111o0342c
60111.10162,-22.433,3.667,-4,14,c,0,1.55,219.42633,2.2845,6264.13,8343.76,2.49,2.11,-60,-0.396,19.43,21.35,04a60111o0356c
60111.11551,21.887,1.825,6,12,c,0,1.64,219.42633,2.2845,6251.22,8448.56,2.44,2.12,-56.6,-0.4,19.43,21.42,04a60111o0386c
60118.83372,20.964,1.281,15,19,o,0,1.46,219.42633,2.2845,4215.44,6553.11,3.47,2.56,-7.4,-0.402,19.11,20.79,03a60119o0302o
60118.83776,-19.583,0.49,-53,26,o,0,2.25,219.42633,2.2845,4234.91,6592.74,5.01,2.57,-0.4,-0.409,18.92,20.76,03a60119o0310o
60118.84343,-22.241,4.765,-5,22,o,0,1.73,219.42633,2.2845,4179.14,6515.24,4.08,2.5,-2.8,-0.42,19.07,20.8,03a60119o0321o
60118.85438,22.134,3.542,5,18,o,0,1.4,219.42633,2.2845,4158.48,6629.97,3.35,2.44,-7.1,-0.387,19.21,20.84,03a60119o0343o
60126.08975,-19.536,0.669,-56,37,o,0,1.4,219.42633,2.2845,473.03,8671.19,2.73,2.1,-84.6,-0.365,18.28,18.56,04a60126o0323o
60126.09338,-20.955,3.18,-15,48,o,0,0.8,219.42633,2.2845,494.13,8708.38,2.82,2.05,-83.5,-0.345,18.12,18.27,04a60126o0331o
60126.10314,-19.376,0.988,-64,64,o,0,0.98,219.42633,2.2845,437.88,8624.59,2.8,2.1,-86.9,-0.351,17.93,18,04a60126o0352o
60126.11354,22.179,10.345,5,50,o,0,0.89,219.42633,2.2845,419.2,8736.8,2.79,2.07,-82.9,-0.343,18.15,18.29,04a60126o0375o
60127.84819,-20.215,1.092,-30,32,o,0,0.77,219.42633,2.2845,2230.51,4674.29,2.55,2.31,-41.7,-0.397,18.53,18.91,03a60128o0238o
60127.85095,-20.565,1.475,-22,32,o,0,0.87,219.42633,2.2845,2249.2,4712.95,2.59,2.33,-32.1,-0.39,18.48,18.9,03a60128o0244o
60127.86043,-20.857,1.877,-16,31,o,0,0.8,219.42633,2.2845,2193.04,4634.06,2.58,2.36,-30.7,-0.39,18.44,18.87,03a60128o0264o
60127.87462,-20.694,1.628,-19,31,o,0,1.25,219.42633,2.2845,2173.46,4748.4,2.49,2.3,-36.7,-0.392,18.45,18.79,03a60128o0294o
60129.09465,20.593,1.71,21,36,o,0,0.86,219.42633,2.2845,2259.53,4683.49,2.42,2.2,73.6,-0.373,18.36,18.99,04a60129o0337o
60129.09782,-20.394,1.421,-25,36,o,0,1.33,219.42633,2.2845,2279.94,4720.54,2.45,2.25,71.4,-0.373,18.34,18.96,04a60129o0344o
60129.10483,-19.442,0.582,-61,35,o,0,0.86,219.42633,2.2845,2223.7,4640.22,2.44,2.19,74.7,-0.38,18.37,18.96,04a60129o0359o
